Job Title,Company Name,Company City,Job Summary,Date Posted,Day extracted,Job id,Job Url,lat,lng,admin_name,capital,population,Job_desc
Production Operator II EIMEA,H.B. Fuller,Nienburg,"Knowledge of chemical mixing and packaging processes.
Education as a chemical worker or similar processes or.
Respecting all legal and company EHS-rules.",0,4/2/21,recJobLoc_2dbbc8689d318306,https://de.indeed.com/rc/clk?jk=2dbbc8689d318306&fccid=d439d9f8ab588c5f&vjs=3,,,,,,"Respecting all legal and company EHS-rules,Compliance with QA requirements,Responsible for housekeeping in his area responsibility,Reporting of his work in the PPS-System,Following the process procedures and work orders,Reporting of any deviation from normal,Documentation of process figures and results (traceability and legal requirement),Working in work teams for i.e. continuous improvement, EHS,Supporting NPI-process,Cleaning of reactors and all affiliated process areas and work space
,Education as a chemical worker or similar processes or
,Education in a technical profession, preferable electrical or mechanical business
,Willingness to work in a 24 hrs/7days shift pattern,Flexibility to work in other areas according to his qualification and production requirements,Knowledge of chemical mixing and packaging processes,English,Knowledge of common software programs (MS office/PPS-Systems),Is aware of 6 Sigma/lean manufacturing tools"
Chemical Technician (f/m/d),Nuvisan,Berlin,"Completed training as a chemical laboratory assistant, chemical-technical assistant or Bachelor/Master of Science.
Chemical Technician (f/m/d).",30,4/2/21,recJobLoc_461cf4dbf5dee312,https://de.indeed.com/rc/clk?jk=461cf4dbf5dee312&fccid=acbd7a2c64f0d106&vjs=3,52.5167,13.3833,Berlin,primary,3644826,
Engineer Process Engineering (m/f/d),BASF,Düsseldorf,"Completed diploma or master's degree in the field of process engineering, mechanical engineering or chemical engineering as well as at least two years of…",7,4/2/21,recJobLoc_9bf664494b6a0075,https://de.indeed.com/rc/clk?jk=9bf664494b6a0075&fccid=38313780e9822361&vjs=3,51.2311,6.7724,North Rhine-Westphalia,admin,619294,
Bachelor or Master thesis of process engineering/biological and chemical engineering,Evonik Operations GmbH,Marl,A minimum of 120 ECTS points in a Bachelor program preferably in the field of process engineering/biological and chemical engineering.,30,4/2/21,recJobLoc_74a102604a16c2bb,https://de.indeed.com/rc/clk?jk=74a102604a16c2bb&fccid=b9d8ab1041976ac7&vjs=3,51.6667,7.1167,North Rhine-Westphalia,,83941,"Plan, set up, and conduct, and evaluate laboratory and pilot plant trials,Process simulation and optimization,Optimization of design methods and processes for process and systems planning,A minimum of 120 ECTS points in a Bachelor program preferably in the field of process engineering/biological and chemical engineering,Good knowledge of English,Basic software skills (MS Office),Excellent communication skills and ability to work in a team,Initiative, good sense of responsibility, flexible"
Lab Leader Chemical Excellence (m/f/d),Bayer,Monheim,Design and synthesis of chemical plant protection molecules as well as their intermediates in the context of lead structure identification and optimization.,14,4/2/21,recJobLoc_f4c0980a4163d51d,https://de.indeed.com/rc/clk?jk=f4c0980a4163d51d&fccid=e08122e0e993cc32&vjs=3,48.8422,10.8564,Bavaria,,5093,"Close collaboration in interdisciplinary teams and coordination of all necessary activities along defined decision criteria for new development compounds,Design and synthesis of chemical plant protection molecules as well as their intermediates in the context of lead structure identification and optimization,Actively contribute to motivation and development of staff; ensure an appropriate feedback culture,Establishing and optimizing of novel synthetic methods and technologies,Ensure generation of intellectual property by appropriate documentation of results and concepts,PhD in Synthetic Organic/Natural Product Chemistry; postdoctoral fellowship and/or foregoing industrial experience in MedChem or AgroChem appreciated,Excellent knowledge of classical and modern synthetic methods,Experience in managing external CROs and/or compound exchange appreciated,Willingness and ability to successfully optimize synthetic research while learning cycles
,High ability to solve problems, structure and prioritize complex tasks,Good communication and interpersonal skills as well as intercultural knowledge and understanding,Ready to challenge the status quo and embrace change,Fluent in German and English, both spoken and written"
Rotational Program START IN Coatings - Engineering (m/f/d),BASF,Münster,"Excellent Master's degree in process technology or chemical engineering with a major in process or technical chemistry.
At BASF, the chemistry is right.",30,4/2/21,recJobLoc_f05b9ee0d672e589,https://de.indeed.com/rc/clk?jk=f05b9ee0d672e589&fccid=38313780e9822361&vjs=3,51.9625,7.6256,North Rhine-Westphalia,minor,314319,
Lab assistant,Pensatech Pharma GmbH,Berlin,"Professional experience in pharmaceutical, chemical or biotech industry desired but not requisite.
We're looking for smart, focused people who enjoy challenges…",7,4/2/21,recJobLoc_651dae567570a856,https://de.indeed.com/rc/clk?jk=651dae567570a856&fccid=1e97ebea7cd38d9e&vjs=3,52.5167,13.3833,Berlin,primary,3644826,"<p>Monitoring maintenance, calibration and qualification status of equipment</p>
,<p>Exact execution and documentation of analytical procedures</p><br/>
,<p>Bachelor degree in Natural Sciences, CTA, PTA, MTA or Laborant</p>
,<p>Professional experience in pharmaceutical, chemical or biotech industry desired but not requisite</p>
,<p>Good planning, organization and problem-solving abilities</p>
,<p>English knowledge written and spoken desired</p><br/>
"
Product Developer,Bunge,Neuss,"A Bachelor or Master degree in process engineering, food technology, ecotrophology, chemical engineering or comparable;
Experience in carrying out projects;",2,4/2/21,recJobLoc_18b81d2913a63bb9,https://de.indeed.com/rc/clk?jk=18b81d2913a63bb9&fccid=894ee0a88fc215e2&vjs=3,51.2003,6.6939,North Rhine-Westphalia,minor,153796,"0-5 years of experience as an application engineer or product developer in a food processing company is desirable;,Distinctive knowledge of food raw materials, their nutritional physiology and production processes;,Experience in carrying out projects;,Practical experience in laboratory work is a big plus;,Good knowledge of MS Office;,Fluency in English and German is a must, knowledge of any other language is a plus.,A competitive salary package;,A permanent employment contract, an annual special bonus and non-contributory pension;,A 38-hour week with 30 holidays per year (on top of this you will have days off on December 24 and 31);,Individual training opportunities;,Social advice from the EAP-Assist family service;,Very good transport links to the port of Neuss and own parking spaces for employees."
Internship in Bioprocess development (m/f/d),BASF,Ludwigshafen am Rhein,"Ludwigshafen is the world's largest integrated chemical complex and home to BASF Group headquarters.
In this way you will make numerous interesting experiences…",1,4/2/21,recJobLoc_ef26058f33503b0b,https://de.indeed.com/rc/clk?jk=ef26058f33503b0b&fccid=38313780e9822361&vjs=3,,,,,,
Internship in Process Technology Innovation,Henkel,Düsseldorf,"Student who has successfully passed first semesters of engineering studies, preferably with focus on chemical engineering.
HENKEL IS FOR THOSE WHO STEP UP.",7,4/2/21,recJobLoc_25eec2565190d8b9,https://de.indeed.com/rc/clk?jk=25eec2565190d8b9&fccid=79b1953a75a5cc1a&vjs=3,51.2311,6.7724,North Rhine-Westphalia,admin,619294,"Set-up of lab/pilot equipment,Plan and conduct lab and pilot trials,Explore new analytical methods,Report results and findings in team meetings,Student who has successfully passed first semesters of engineering studies, preferably with focus on chemical engineering,Practical international experience, e.g. by former internships or a semester abroad are advantageous as well as knowledge in formulation chemistry,Fluent English language skills,Advanced know-how in MS Office,Structured way of working and excellent communication skills,International background with a strong analytical mind / thinking,A self-motivated person striving for excellence in a challenging environment"
Chemical Engineer (f/m/d),Siemens Energy,Troisdorf,"Focus on chemical engineering, development and process enablement.
Master’s degree in chemical engineering, special knowledge in polymer chemistry and…",30,4/2/21,recJobLoc_dbc7b31e6d33165b,https://de.indeed.com/rc/clk?jk=dbc7b31e6d33165b&fccid=3b89b9ec324f96c8&vjs=3,50.8161,7.1556,North Rhine-Westphalia,,74903,"Several years of professional experience in development and application technology of epoxy resin in electrical application,Expert knowledge of basic materials for duroplasts - epoxy resin,Experience with relevant analysis methods like DSC, TGA, DMTA, rheometry as well as experience with the evaluation of material properties of epoxy resin in conjunction with the electrical properties,Communication skills, analytical mindset and systematic work approach,Enhancement of our R&amp;D team, especially in the core competence of epoxy resin processing,Focus on chemical engineering, development and process enablement,Adjustment of formulations including technical documentation for the application in the manufacturing process,Support of production with the implementation of new processes and equipment,Analysis and Evaluation of new / alternative resources,Quality control of material parameters,Collaborating with a team of highly skilled committed colleagues with close contact to all departments of HSP,Chance to influencing directly the development and taking responsibility for this.,Possibility to take over further tasks within the company"
Supply Planner,BASF,Krefeld,"We are a leading chemical company, with the best teams developing intelligent solutions for our customers and for a sustainable future.",8,4/2/21,recJobLoc_733c9971f2d53351,https://de.indeed.com/rc/clk?jk=733c9971f2d53351&fccid=38313780e9822361&vjs=3,51.3333,6.5667,North Rhine-Westphalia,minor,227020,
CHEMICAL LABORATORY ASSISTANT (M/F/D),Kraftwerk Group,Tharandt,"Completed training as a chemical laboratory assistant.
Being located in the USA and Dresden, kraftwerk is one of the most innovative companies in the power…",30,4/2/21,recJobLoc_d31fb2d90c63259e,https://de.indeed.com/rc/clk?jk=d31fb2d90c63259e&fccid=a7b581af493185ab&vjs=3,50.9833,13.5808,Saxony,,5400,
Development Engineer (all genders),Merck KGaA,Darmstadt,"Advanced knowledge in first principle modelling of chemical processes.
A career at our company is an ongoing journey of discovery: our 57,000 people are shaping…",1,4/2/21,recJobLoc_3a66c6bc6aee61f8,https://de.indeed.com/rc/clk?jk=3a66c6bc6aee61f8&fccid=68d0e0954a811351&vjs=3,49.8667,8.65,Hesse,minor,159207,"Expert knowledge in reaction technology, particularly applications of micro reaction technology,Advanced knowledge in thermal unit operations and separation technology,Advanced knowledge in first principle modelling of chemical processes,Expert knowledge in applications of Process Analytics Technology in combination with model based design of experiments,Knowledge in data driven process modelling,Fluent in English and German"
Product Compliance Specialist,IKEA,Dortmund,"Mapping and perform risk assessment of critical chemical substances/materials and processes.
Looking for a kick-start in your international career?",2,4/2/21,recJobLoc_26f983bd67667814,https://de.indeed.com/rc/clk?jk=26f983bd67667814&fccid=af17ea0d1d6bbbba&vjs=3,51.5139,7.4653,North Rhine-Westphalia,minor,587010,"Perform spot check in the frame of the Gate Checks routine to verify that the new products comply with documentation and CONNECT requirements. As well, from time to time on project basis, to verify compliance on the running product range,Coach and Support the Business teams in daily operations and in evaluate new potential suppliers by addressing risks/risk mitigation connected to Product safety and Chemical Compliance,Mapping and perform risk assessment of critical chemical substances/materials and processes,Participate in the development of new IoS specification requirements, by securing input is given on potential impacts from a supply chain perspective,Contribute in developing and lead implementation of global product compliance working methods and tools, and co-ordinate local implementation,Ability to prioritize and perform multiple tasks on an operational level with great attention to details,Ability to work in a structured and organized way,Capability to communicate in a clear way and build relationships,Deep knowledge of Microsoft office,Driver’s license B"
Chemist (m/f/d) - Analytical chemistry,International Flavors & Fragrances,Bomlitz,"The analytical laboratory uses techniques such as wet chemical analysis, chromatographic methods (GC, HPLC, IC), IR and NMR.",9,4/2/21,recJobLoc_25c61eb35ddd6697,https://de.indeed.com/rc/clk?jk=25c61eb35ddd6697&fccid=87c08f0984b02c4c&vjs=3,,,,,,"Development and implementation of efficient and valid analytical test methods according to cGMP standards for various applications such as product testing and research projects.,Optimal support of research and development projects with analytical service.,Support/Work in the analytical laboratory on complex analytical tasks,Validation of test methods using statistical tools,Maintenance of existing and development, validation and implementation of new test methods according to cGMP standard,Documentation of results in reports and test methods"
Group Leader (m/f/div) Chemical Reaction Technology (135447),Evonik Operations GmbH,Marl,"Successfully completed studies in process engineering, chemical engineering or technical chemistry – optimally with a PhD.",30,4/2/21,recJobLoc_1238d74d0ff33409,https://de.indeed.com/rc/clk?jk=1238d74d0ff33409&fccid=b9d8ab1041976ac7&vjs=3,51.6667,7.1167,North Rhine-Westphalia,,83941,"<p>Optimization of existing as well as development of new and innovative process concepts or products within the framework of process development including the transfer to the technical scale and procedural support of the business</p>
,<p>Initiation and promotion of the further development of the technical standard within the specialist teams and the necessary tools and methods</p>
,<p>Independent planning, coordination, control and documentation of research and development tasks - from project initiation over project design to project implementation</p>
,<p>Function as project-related contact person and advisor for the customer as well as coordination and maintenance of an efficient and supportive cooperation between customers, internal departments and external know-how providers</p>
,<p>Regular examination of publications and market offerings regarding their utilization potential as well as continuous and efficient maintenance of contacts with institutes, universities, specialist companies, competitors and peer</p><br/>
,Successfully completed studies in process engineering, chemical engineering or technical chemistry – optimally with a PhD,Several years of professional experience in process engineering, technical chemistry, reaction technology or catalysis,Experience in project management - ideally also in the context of complex large-scale projects,Professional and disciplinary leadership experience desirable,Very good command of written and spoken English,Strong communication and cooperation capability combined with strong networking skills and a wide-ranging network,A structured and results-oriented way of working"
"Technical Assistant*, Chemical Technician* or Pharmaceutical Assistant*",BioNTech AG,Idar-Oberstein,"Become a member of the BioNTech Family!
As a part of our team of more than 1.500 pioneers, you will play a key role in developing solutions for some of the most…",30,4/2/21,recJobLoc_941115047e6abdf0,https://de.indeed.com/rc/clk?jk=941115047e6abdf0&fccid=ffe24273b1bd1839&vjs=3,49.7019,7.3253,Rhineland-Palatinate,,28323,"Aseptic preparation and filling of excipients and APIs under GMP conditions,Implementation and documentation of development studies together with your teammates,Participation in the creation and maintenance of protocols and SOPs,General laboratory activities,Successfully completed training as BTA*, MTA*, CTA*, Chemical Technician*, Pharmaceutical Assistant*, Biology or Chemistry Lab Assistant*, Food Technologist* etc.,High awareness for valid hygienic standards,Experience in working in a G(x)P- or production environment are not required but are preferable,Willingness to work irregular hours and in shifts,Good knowledge of German in speaking and writing, flexibility and a target-oriented, diligent approach to work,Company Pension Scheme,Childcare,Jobticket,Company Bike,Leave Account,Special Vacation,BioNTech does not differentiate on the basis of gender, race, religion, color, origin, sexual orientation, disability, age and other protected status as required by applicable law. We are committed to creating a diverse environment and are proud to be an equal opportunity employer."
RDG Post Doc Chemistry (m/w/d),Roche,Penzberg,"You possess a profound knowledge in chemical synthesis.
Based on chemical synthesis methods we design, develop and supply tailor-made functional reagents for…",9,4/2/21,recJobLoc_9cf5dbfee4a0ac66,https://de.indeed.com/rc/clk?jk=9cf5dbfee4a0ac66&fccid=bca1c8ed48c3b338&vjs=3,47.75,11.3667,Bavaria,,16586,"<p>The project will be performed in close collaboration with protein chemistry groups and test development to develop a deep insight into the relationship of structural design and performance outcome of the labels and linkers.
</p>,<p>Planning, performing and interpreting experiments in an independent manner are also an important part of your project.
</p>,<p>One of your most important tasks is to further develop your personal expertise.
</p>,<p>You will regularly coordinate your approach with internal project teams and experts from different areas and from academia.
</p>,<p>Finally, you will be part of a highly motivated team having profound experience in the field of synthetic chemistry development and using state of the art methods, equipment and facilities.
</p>,<p>You are a candidate who wants to influence your own development. You are looking for a company offering the opportunity to pursue your interests across functions and geographies. Where a job title is not considered the final definition of who you are, but the starting point.
</p>,<p>You hold a PhD in the fields of organic chemistry, medicinal chemistry or bioorganic chemistry.
</p>,<p>You possess a profound knowledge in chemical synthesis.
</p>,<p>Your experience in modern synthesis is of high value to us.
</p>,<p>You are well experienced in applying spectroscopic and chromatographic methods.
</p>,<p>You are able to correlate molecular structure and functionality.
</p>,<p>We would appreciate additional experience in the field of luminescent metal complexes, fluorescent labels, linkers, and application of these reagents, as additional experience in biochemistry.
</p>,<p>Your qualification should be clearly demonstrated by at least one first author paper published or accepted in a high-quality journal.
</p>,<p>Very good communication and interpersonal skills are your strengths. In addition, you are sensitive to intercultural and interdisciplinary matters.
</p>,<p>You are a proactive individual with passion and commitment to innovate healthcare through our Roche Diagnostics Postdoc Program.
</p>,<p>Working in a team comes natural to you.
</p>,<p>You already demonstrated personal flexibility and the capability to work independently.
</p>,<p>Highly advanced planning and organization skills complete your profile.
</p>,<p>Excellent English skills are required, German is not mandatory.
</p>"
Chemical Technical Assistant (f/m/d),ZEISS Group,Aalen,Be responsible for technology and process development and optimization in the production lab with a broad technology portfolio from precision injection molding…,30,4/2/21,recJobLoc_69223034fad470f9,https://de.indeed.com/rc/clk?jk=69223034fad470f9&fccid=47148e4eb4f2966b&vjs=3,48.8372,10.0936,Baden-Württemberg,minor,68456,"operate, maintain and improve our existing equipment, processes and lab infrastructure and support an efficient lab organization,be responsible for technology and process development and optimization in the production lab with a broad technology portfolio from precision injection molding via high-end gluing processes to wet-chemical and PVD coating,independently and systematically develop, run and document tests and experiments to develop and validate new and existing processes to prepare the serial production of our optics,work closely with external project partners to produce and characterize functional samples,a master degree in process engineering or plastics technology,at least 3 years of experience in process development and the production of plastic components in optics or medical technology,experience in planning, executing and documenting experiments and trials,a good command of German and English,the ability to independently structure complex, interrelated issues and creatively and quickly solve them"
Working Student Supply Chain,Nufarm Europe GmbH,Düsseldorf,"Planning of raw material, packaging and chemical deliveries.
To attend university and Nufarm whilst studying for a technical qualification.",3,4/2/21,recJobLoc_fe09850010a5f19d,https://de.indeed.com/rc/clk?jk=fe09850010a5f19d&fccid=3bc3a379b368f05d&vjs=3,51.2311,6.7724,North Rhine-Westphalia,admin,619294,"Maintain and update our Oracle ERP system including sales order management,Planning of raw material, packaging and chemical deliveries,Control of storage and supplies including stock reconcilation,Manipulate and interpret constantly changing data sets to inform decision making in the supply chain function(s),Analyse large amounts of data to identify key trends and themes that affect the FMCG supply chain; make recommendations to internal and external customers, the world of increasing data availability sources may include customer electronic point of sale (EPOS) data, historic forecast vs. dispatch data, historic customer shipping/delivery data,Complete supply chain documentation for audit requirements,Home office,International Team - fluent English is must,Laptop,Responsiveness to change: demonstrates and encourages curiosity to foster new ways of thinking and working to ensure economic benefits are maximised,Pride in work: aims for excellence, time management, adherence to deadlines,Safe working: ensures safety of self and others, challenges safety issues,Highly effective communicator at all levels and with a variety of stakeholders: always acting with integrity and respect,The principles of capacity planning,Plan manufacture: the principles of developing and implementing a supply plan taking account of capacity, product life and the key drivers of success,Customer service: the principles of order capture and management, from order receipt to delivery through to customers, the importance of customer fulfilment,End-to-end characteristics and processes of the FMCG supply chain in different contexts,The characteristics and specific needs of different customer groups: retailers, business-to-business, ecommerce and export,Eingeschriebene/r Student/in an einer staatlich anerkannten Hochschule"
"Scientist - Formulation, Lyo & Stability Development",CSL Behring,Marburg an der Lahn,"Good understanding of the stabilization mechanisms, selection criteria for excipients and physico-chemical properties with regard to the development of freeze…",0,4/2/21,recJobLoc_73d429829d20786b,https://de.indeed.com/rc/clk?jk=73d429829d20786b&fccid=784e2aaf1bc10465&vjs=3,,,,,,
